Name;Township;District;PostCode
Pathein;Pathein;Pathein;10011
Hinthada;Hinthada;Hinthada;10061
Maubin;Maubin;Maubin;10181
Myaungmya;Myaungmya;Myaungmya;10211
Warkema;Warkema;Myaungmya;10201
Pyapon;Pyapon;Pyapon;10251
Thoneminemyothit;Labutta;Labutta;10122
PatheinCantonment;Pathein;Pathein;10012
Kangyidaung;Kangyidaung;Pathein;10021
Myetto;Pathein;Pathein;10013
Thabaung;Thabaung;Pathein;10111
Ngaputaw;Ngaputaw;Pathein;10131
Kyonepyaw;Kyonepyaw;Pathein;10091
Ahthoke;Yegyi;Pathein;10082
Kyaunggone;Kyaunggone;Pathein;10101
Laymyethnar;Laymyethnar;Hinthada;10071
Kanaung;Myanaung;Hinthada;10042
Batye;Kyangin;Hinthada;10032
Ingabu;Ingabu;Hinthada;10051
Htugyi;Ingabu;Hinthada;10052
Mezalegone;Ingabu;Hinthada;10053
Nyaungtone;Nyaungtone;Maubin;10161
Dedaye;Dedaye;Pyapon;10261
Kyonmange;Warkema;Myaungmya;10202
Zalun;Zalun;Hinthada;10141
Pathein University;Pathein;Pathein;10014
Ngathaingchaung;Ngathaingchaung;Pathein;10291
B.E.D;Pathein;Pathein;10016
Chaungtha;Shwethaungyan;Pathein;10282
Pyinkhayaing;Hainggyi;Labutta;10322
Hainggyi;Hainggyi;Labutta;10321
Yekyi;Yekyi;Pathein;10081
Dambi;Hinthada;Hinthada;10062
Myanaung;Myanaung;Hinthada;10041
Kyankhin;Kyankhin;Hinthada;10031
Einme;Einme;Myaungmya;10191
Shwelaung;Warkema;Myaungmya;10203
Mawlamyainggyun;Mawlamyainggyun;Labutta;10221
Pantanaw;Pantanaw;Maubin;10171
Danubyu;Danubyu;Maubin;10151
Zakargyi;Danubyu;Maubin;10152
Bogalay;Bogalay;Pyapon;10231
Kyaiklat;Kyaiklat;Pyapon;10241
Labutta;Labutta;Labutta;10121
Pathein Shipyard;Pathein;Pathein;10015
Ngwesaung;Ngwesaung;Pathein;10271
Daka;Kangyidaung;Pathein;10022
Thaunggyi;Kyonepyaw;Pathein;10093
Ahhtaung;Kyonepyaw;Pathein;10092
Ngayokekaung;Ngayokekaung;Pathein;10301
Shwethaungyan;Shwethaungyan;Pathein;10281
Ahmar;Ahmar;Pyapon;10311
Thidakongpyin;Yegyi;Pathein;10083
Ngapiseik;Yegyi;Pathein;10084
HinthadaUniversity;Hinthada;Hinthada;10063
Daunggyi;Zalun;Hinthada;10142
Ngapiseik;Myanaung;Hinthada;10044
Innbin;Myanaung;Hinthada;10043
Kwingauk;Ingabu;Hinthada;10054
Nyaungkyo;Ingabu;Hinthada;10055
Pyinywa;Myaungmya;Myaungmya;10212
Jute Factory;Myaungmya;Myaungmya;10213
Hlaingbone;Mawlamyaing gyun;Labutta;10122
Yelaekalay;Maubin;Maubin;10183
Maubin University;Maubin;Maubin;10184
Shwetaunghmaw;Maubin;Maubin;10182
Kyonekadon;Pyapon;Pyapon;10252
Kadonkane;Bogalay;Pyapon;10233
G.T.C (Pathein);Pathein;Pathein;10017
G.C.C (Pathein);Pathein;Pathein;10018
Pyinsalu;Pyinsalu;Labutta;10331
G.T.C (Hinthada);Hinthada;Hinthada;10064
Kyonekuu;Hainggyi;Labutta;10323
Myinkakone;Bogale;Pyapon;10232
Kyitha;Pathein;Pathein;10019
Kanywa;Kangyidaung;Pathein;10023
Phayargone;Thabaung;Pathein;10112
Chaungwa;Hainggyi;Labutta;10324
Zayathla;Yekyi;Pathein;10085
Yodayartet;Yekyi;Pathein;10086
Nateban;Hinthada;Hinthada;10065
Nathmaw;Hinthada;Hinthada;10066
Phayargone;Hinthada;Hinthada;10067
Yonethalin;Hinthada;Hinthada;10068
Sagarmyar;Myaungmya;Myaungmya;10215
Ai Tha Byu;Laymyethnar;Hinthada;10072
Khamoutsu;Laymyethnar;Hinthada;10073
Shwekyin;Myanaung;Hinthada;10045
Zaungtan;Ingabu;Hinthada;10056
Chaukywar;Ingabu;Hinthada;10057
Kyarkan;Labutta;Labutta;10125
Yetwinyekan;Myaungmya;Myaungmya;10214
Sharkhe;Hinthada;Hinthada;10069
Kanbat;Labutta;Labutta;10124
Betutkalay;Labutta;Labutta;10123
Kyungone;Warkema;Myaungmya;10204
Kyeikpi;Myawlamyainggyun;Labutta;10223
Kywe Done;Maubin;Maubin;10187
Layainzu;Maubin;Maubin;10188
Kyonesoke;Maubin;Maubin;10185
Sitchaung;Maubin;Maubin;10186
Daunggyi;Pantanaw;Maubin;10172
Sarmalout;Nyaungtone;Maubin;10164
Mezale;Nyaungtone;Maubin;10163
Chaunggyi;Nyaungtone;Maubin;10162
Sankin;Danubyu;Maubin;10154
Kyonetanee;Danubyu;Maubin;10153
Kyatphamhwezoung;Pyapon;Pyapon;10254
Thamainhtaw;Pyapon;Pyapon;10253
Yonedaunt;Kyaiklat;Pyapon;10242
Suukalap;Dedaye;Pyapon;10262
Sinma;Ngwesaung;Pathein;10272
