Name ;Township ;District ;   PostCode  
Hpaan ;Hpaan ;Hpaan ;13011
Kawkareit ;Kawkareit ;Kawkareit ;13061
Myawaddy ;Myawaddy ;Myawaddy ;13051
Thantaungthit ;Thantaunggyi ;Hpaan ;13021
Hlainebwe ;Hlainebwe ;Hpaan ;13041
Hpapun ;Hpapun ;Hpaan ;13031
Kyarinseikkyi ;Kyarinseikkyi ;Kawkareit ;13071
Thantaunggyi ;Thantaunggyi ;Hpaan ;13022
Shwegwan ;Hlainebwe ;Hpaan ;13042
Myaing Gyi Ngu ;Hlainebwe ;Hpaan ;13043
Paingkyon ;Hlainebwe ;Hpaan ;13044
Zarthapyin ;Hpaan ;Hpaan ;13013
Htonaing ;Hpaan ;Hpaan ;13012
Myaingkalay ;Hpaan ;Hpaan ;13014
Eindu ;Hpaan ;Hpaan ;13015
Tayokehla ;Hpaan ;Hpaan ;13016
Hpaan University ;Hpaan ;Hpaan ;13017
Kamamaung ;Hpapun ;Hpaan ;13032
Kyondo ;Kawkareit ;Kawkareit ;13062
Nabu ;Kawkareit ;Kawkareit ;13064
Kawtbain ;Kawkareit ;Kawkareit ;13063
Kyaikdon ;Kyarinseikkyi ;Kawkareit ;13072
Phayar Thonesu ;Kyarinseikkyi ;Kawkareit ;13073
ThinkhanNyinaung ;Myawaddy ;Myawaddy ;13052
Latetho ;Thantaunggyi ;Hpaan ;13023
Bawgali ;Thantaunggyi ;Hpaan ;13024
Barkat ;Hpaan ;Hpaan ;13018
