Name ;Township ;District ;PostCode 
Myitkyina ;Myitkyina ;Myitkyina ;01011
Phakant ;Phakant ;Mohnyin ;01161
Bhamaw ;Bhamaw ;Bhamw ;01131
Putao ;Putao ;Putao ;01051
Mohnyin ;Mohnyin ;Mohnyin ;01111
Hopin ;Mohnyin ;Mohnyin ;01112
Myitkyina ;Myitkyina ;Myitkyina ;01012
University ;;;
Namtee ;Mogaung ;Mohnyin ;01101
Sarhmaw ;Mogaung ;Mohnyin ;01102
Nanmar ;Mohnyin ;Mohnyin ;01113
Mapakha ;Myitkyina ;Myitkyina ;01015
Mogaung ;Mogaung ;Mohnyin ;01103
Karmine ;Phakant ;Mohnyin ;01162
Chibwe ;Chibwe ;Myitkyina ;01071
Shwegu ;Shwegu ;Bhamaw ;01121
Momauk ;Momauk ;Bhamaw ;01151
Sunpayabom ;Sunpayabom ;Putao ;01061
Machanbaw ;Machanbaw ;Putao ;01041
Khaunglanphu ;Khaunglanphu ;Putao ;01181
Naungmon ;Naungmon ;Putao ;01031
Taning ;Taning ;Myitkyina ;01091
Mansi ;Mansi ;Bhamaw ;01141
Waingmaw ;Waingmaw ;Myitkyina ;01081
Pinbaw ;Mogaung ;Mohnyin ;01104
Nantmon ;Mohnyin ;Mohnyin ;01114
Mawhan ;Mohnyin ;Mohnyin ;01116
Bhamaw University ;Bhamaw ;Bhamaw ;01132
Sinbo ;Sinbo ;Myitkyina ;01191
Tarlawgyi ;Myitkyina ;Myitkyina ;01016
Sadone ;Waingmaw ;Myitkyina ;01082
Kanbaiti ;Waingmaw ;Myitkyina ;01083
Manweingyi ;Mansi ;Bhamaw ;01142
Shinbweyan ;Tanai ;Myitkyina ;01092
Myohla ;Shwegu ;Bhamaw ;01122
Nantsiaung ;Mohnyin ;Mohnyin ;01115
Shaduzut ;Phakant ;Mohnyin ;01163
Panwar ;Chibwe ;Mohnyin ;01072
Sawlaw ;Sawlaw ;Mohnyin ;01171
Sinkham ;Shwegu ;Bhamaw ;01123
Myothit ;Momauk ;Bhamaw ;01152
Dawphoneyan ;Momauk ;Bhamaw ;01153
Lwegel ;Momauk ;Bhamaw ;01154
Pannandin ;Naungmon ;Putao ;01032
Myothitgyi ;Myitkyina ;Myitkyina ;01017
Ingyanyan ;Ingyanyan ;Myitkyina ;01201
Lonekhin ;Phakant ;Mohnyin ;01164
Aungmyintha ;Myitkyina ;Myitkyina ;01014
Nammana ;Mogaung ;Mohnyin ;01105
Mankein ;Myitkyina ;Myitkyina ;01013
Pyihtaung ;Myitkyina ;Myitkyina ;01018
Warshaung ;Waingmaw ;Myitkyina ;01084
Mayan ;Mogaung ;Mohnyin ;01106
Loneton ;Mohnyin ;Mohnyin ;01117
Seinlonkabar ;Momauk ;Bhamaw ;01155
Putao airport ;Putao ;Putao ;01052
Dunban ;Phakant ;Mohnyin ;01165
Khatcho ;Waingmaw ;Mohnyin ;01085
Palana ;Myitkyina ;Myitkyina ;- 
Kanhla ;Mogaung ;Mohnyin ;- 
Taungni ;Mogaung ;Mohnyin ;- 
Minkone ;Mogaung ;Mohnyin ;- 
Nankhwin ;Mohnyin ;Mohnyin ;- 
Kardu ;Mohnyin ;Mohnyin ;- 
Chaungwa ;Mohnyin ;Mohnyin ;- 
Nyaunggone ;Mohnyin ;Mohnyin ;- 
Pyinhae' ;Mohnyin ;Mohnyin ;- 
Belu ;Mohnyin ;Mohnyin ;- 
Myothitkalay ;Mohnyin ;Mohnyin ;- 
Ywathitgyi ;Mohnyin ;Mohnyin ;- 
Lawkhaung ;Chibwe ;Myitkyina ;- 
Maubin ;Bhamaw ;Bhamaw ;- 
Mammalin ;Bhamaw ;Bhamaw ;- 
Shwekyeenar ;Bhamaw ;Bhamaw ;- 
Kyaukgyi ;Shwegu ;Bhamaw ;- 
Boegone ;Shwegu ;Bhamaw ;- 
Minkyaunggone ;Shwegu ;Bhamaw ;- 
Thapayhla ;Shwegu ;Bhamaw ;- 
Sitha ;Shwegu ;Bhamaw ;- 
Zeewon ;Putao ;Putao ;- 
Mularshede ;Putao ;Putao ;- 
Nankham ;Putao ;Putao ;- 
Htarandan ;Putao ;Putao ;- 
Garyaryan ;Waingmaw ;Myitkyina ;- 
