Name of City/Town;Township ;District ;PostCode  
Ann ;Ann ;Kyaukpyu ;07151
Tattaung ;Ann ;Kyaukphyu ;07152
Buthidaung ;Buthidaung ;Maungdaw ;07031
Ponnyolate ;Buthidaung ;Maungdaw ;07033
Kahtila ;Buthidaung ;Maungdaw ;07034
Kyauksating ;Buthidaung ;Maungdaw ;07035
Tharaphe ;Buthidaung ;Maungdaw ;07036
Nyaungchaung ;Buthidaung ;Maungdaw ;07037
Gwa ;Gwa ;Thandway ;07181
Kyeintali ;Gwa ;Thandway ;07182
Sattwar ;Gwa ;Thandway ;07183
Kanthaya ;Gwa ;Thandway ;07184
Taungpauk ;Gwa ;Thandway ;- 
Kyaukphyu ;Kyaukphyu ;Kyaukphyu ;07121
Sanae' ;Kyaukphyu ;Kyaukphyu ;07122
Zinchaung ;Kyaukphyu ;Kyaukphyu ;07123
Kyauktaw ;Kyauktaw ;Sittwe ;07061
Apaukwa ;Kyauktaw ;Sittwe ;07062
Kansouth ;Kyauktaw ;Sittwe ;07063
Thayettabin ;Kyauktaw ;Sittwe ;- 
Thitpon ;Mamaung ;Kyaukpyu ;07142
Kamar ;Mamaung ;Kyaukpyu ;- 
Kyauktan ;Mamaung ;Kyaukpyu ;- 
Mamaung ;Manaung ;Kyaukpyu ;07141
Maungdaw ;Maungdaw ;Maungdaw ;07021
Kyainchaung ;Maungdaw ;Maungdaw ;07192
Ngakhuya ;Maungdaw ;Maungdaw ;07022
Taungpyowae' ;Maungdaw ;Maungdaw ;07191
Ahlaethankyaw ;Maungdaw ;Maungdaw ;07023
Aungthapyay ;Maungdaw ;Maungdaw ;07024
Yemyettaung ;Maungdaw ;Maungdaw ;07025
Kyaukpantu ;Maungdaw ;Maungdaw ;07026
Minkhamaung ;Maungdaw ;Maungdaw ;07027
Mingalarnyunt ;Maungdaw ;Maungdaw ;07028
Mingalargyi ;Maungdaw ;Maungdaw ;07029
Tamanthar ;Maungdaw ;Maungdaw ;07193
Kintaung ;Maungdaw ;Maungdaw ;07194
Minbya ;Minbya ;Sittwe ;07091
Kanni ;Minbya ;Sittwe ;07094
MyaukOo ;MyaukOo ;Sittwe ;07101
Tainnyo ;MyaukOo ;Sittwe ;07102
Myaungbwe ;MyaukOo ;Sittwe ;07092
Pyartae' ;MyaukOo ;Sittwe ;- 
Kandaunggyi ;Myebon ;Sittwe ;- 
Myepon ;Myepon ;Sittwe ;07111
Paletwa ;Paletwa ;Thandway ;07071
Daletmay ;Paletwa ;Sittwe ;- 
Thamain ;Paletwa ;Sittwe ;- 
Panmyaung ;Panmyaung ;Sittwe ;07093
Pauktaw ;Pauktaw ;Sittwe ;07081
Ponnagyun ;Ponnagyun ;Sittwe ;07051
Yotayoke ;Ponnagyun ;Sittwe ;07052
Thetat ;Ponnagyun ;Sittwe ;07053
Poesheepyin ;Ponnagyun ;Sittwe ;07054
Rambree ;Rambree ;Kyaukpyu ;07131
Kyauknimaw ;Rambree ;Kyaukphyu ;07132
Thayetcho ;Rambree ;Kyaukpyu ;- 
Rathedaung ;Rathedaung ;Buteeaung ;07041
Zaydipyin ;Rathedaung ;Sittwe ;07032
Ahngumaw ;Rathedaung ;Sittwe ;07042
Laungchaung ;Rathedaung ;Sittwe ;- 
Kutaung ;Rathedaung ;Sittwe ;- 
Sittwe ;Sittwe ;Sittwe ;07011
 Sittwe Cantoment ;Sittwe ;Sittwe ;07012
Mingan ;Sittwe ;Sittwe ;07014
Rupa ;Sittwe ;Sittwe ;07013
Thatkaypyin ;Sittwe ;Sittwe ;07015
Yaechanpyin ;Sittwe ;Sittwe ;- 
Ahmyintkyun ;Sittwe ;Sittwe ;- 
Wahbo ;Sittwe ;Sittwe ;- 
Taunggoke ;Taunggoke ;Thandway ;07161
Maei ;Taunggoke ;Thandway ;07162
Ywama ;Taunggoke ;Thandway ;07163
Lamu ;Taunggoke ;Thandway ;07164
Ngapali ;Thandway ;Thandway ;07172
Kinmaw ;Thandway ;Thandway ;07173
Pazunphay ;Thandway ;Thandway ;07174
Kalapyin ;Thandway ;Thandway ;- 
Kyaukgyi ;Thandway ;Thandway ;- 
Shwehlay ;Thandway ;Thandway ;- 
Thabyuchine ;Thandway ;Thandway ;- 
Thantwe ;Thantwe ;Thantwe ;07171
