Name;Township;Postal Code
Ahlone ; Ahlone ;11121
Aung San ; Insein  ;11012
Bahan   ; Bahan ;11201
Bayintnaung Market (Thamine) ; Mayangone  ;11062
Bogyoke Market  ; Pabedan  ;11143
Botahtaung ; Botahtaung ;11162
Botahtaung ; Botahtaung  ;11161
Dagon   ; Dagon  ;11191
Dagon Myothit (North) ; Dagon Myothit (North) ;11421
Dagon Myothit (South) ; Dagon Myothit (South) ;11431
Dawbon  ; Dawbon ;11241
Hlaing ; Hlaing ;11051
Hlaing Thar Yar ; Hlaing Thar Yar  ;11401
Insein ; Insein ;11011
Kaba Aye  ; Mayangone  ;11061
Kamayut ; Kamayut  ;11041
Kyauk Tan ; Kyauk Tan  ;11301
Kyauktada  ; Kyauktada  ;11182
Kyeemyindaing   ; Kyimyindaing  ;11101
Lanmadaw  ; Lanmadaw  ;11131
Mingalar Taung Nyunt  ; Mingalar Taung Nyunt  ;11221
Mingalardon  ; Mingalardon  ;11021
Okkalapa (North) ; Okkalapa (North) ;11031
Okkalapa (South) ; Okkalapa (South) ;11091
Pabedan ; Pabedan  ;11141
Pazundaung   ; Pazundaung  ;11171
Pyi Thar Yar ; Yankin  ;11082
Sanchaung ; Sanchaung  ;11111
Shwe Pyi Thar  ; Shwe Pyi Thar ;11411
Shwepaukan  ; Okkalapa (North) ;11032
Tamwe ; Tamwe  ;11211
Tanyin   ; Tanyin  ;11291
Thamine College   ; Hlaing  ;11052
Tharkayta  ; Tharkayta ;11231
Theingyi Market  ; Pabedan ;11142
Thingangyun  ; Thingangyun  ;11071
Thuwunna ; Thingangyun ;11072
Yangon (Main Post Office)   ; Yangon ;11181
Yangon Station  ; Mingalar Taung Nyunt  ;11222
Yankin   ; Yankin ;11081
